,Name,Region,Location,QS Rank,QS Score,No staffs,No internat staffs,No students,No internat students
66,Ludwig-Maximilians-Universität München,Europe,Germany,66,70.8,3274,674,35055,5084
67,University of Texas at Austin,North America,United States,67,70.6,2833,108,47995,4744
68,Ruprecht-Karls-Universität Heidelberg,Europe,Germany,68,70.4,3908,756,28852,5298
69,University of Illinois at Urbana-Champaign,North America,United States,69,70.3,2554,259,42427,9483
70,Georgia Institute of Technology,North America,United States,70,70.1,1133,75,21082,4761
71,Pohang University of Science And Technology (POSTECH),Asia,South Korea,71,69.4,664,113,3117,126
72,KU Leuven,Europe,Belgium,71,69.4,2515,784,45538,6926
73,University of Copenhagen,Europe,Denmark,73,69.2,7483,2336,32119,3683
74,University of Zurich,Europe,Switzerland,73,69.2,4997,2617,26065,5036
75,Universidad de Buenos Aires (UBA),Latin America,Argentina,75,69.1,16421,3165,122301,27109
76,Tohoku University,Asia,Japan,76,69.0,3411,264,17827,1604
77,National Taiwan University (NTU),Asia,Taiwan,76,69.0,2807,220,32195,3152
78,Durham University,Europe,United Kingdom,78,68.5,1539,586,16745,4690
79,Lund University,Europe,Sweden,78,68.5,3031,1002,27786,6408
80,"University of North Carolina, Chapel Hill",North America,United States,80,67.8,4083,524,25373,1934
81,Boston University,North America,United States,81,67.2,3157,379,25662,7041
82,The University of Auckland,Oceania,New Zealand,82,67.0,2047,645,29641,8568
83,The University of Sheffield,Europe,United Kingdom,82,67.0,3065,938,25430,8745
84,University of Birmingham,Europe,United Kingdom,84,66.8,2962,1028,28660,7795
85,The University of Nottingham,Europe,United Kingdom,84,66.8,3360,1135,29165,7993
86,The Ohio State University,North America,United States,86,66.1,5911,1696,43156,6874
87,Zhejiang University,Asia,China,87,65.9,4507,1913,40869,4625
88,"Trinity College Dublin, The University of Dublin",Europe,Ireland,88,65.7,1249,544,14961,4311
89,Rice University,North America,United States,89,65.6,969,316,6610,1847
90,Korea University,Asia,South Korea,90,65.5,3745,339,25892,3638
91,University of Alberta,North America,Canada,90,65.5,3561,1294,31765,8203
92,University of St Andrews,Europe,United Kingdom,92,65.3,1140,485,8800,4030
93,The University of Western Australia,Oceania,Australia,93,65.2,1420,809,18531,4575
94,Pennsylvania State University,North America,United States,93,65.2,3509,211,45612,7081
95,Lomonosov Moscow State University,Europe,Russia,95,65.0,6709,373,30233,5098
96,The Hong Kong Polytechnic University,Asia,Hong Kong,95,65.0,2447,1275,20972,5251
97,University of Science and Technology of China,Asia,China,97,64.9,1992,155,16032,548
98,University of Geneva,Europe,Switzerland,98,64.7,1752,1029,15844,6104
99,KTH Royal Institute of Technology,Europe,Sweden,98,64.7,1500,494,12658,1937
100,Washington University in St. Louis,North America,United States,100,64.6,2699,784,13474,2706
101,University of Leeds,Europe,United Kingdom,101,64.5,3025,870,29645,7534
102,University of Southampton,Europe,United Kingdom,102,63.9,2820,1017,23775,7789
103,University of Helsinki,Europe,Finland,102,63.9,2645,535,22419,1234
104,Eindhoven University of Technology,Europe,Netherlands,104,63.6,801,322,7636,1275
105,Purdue University,North America,United States,105,63.2,3247,1334,38143,8787
106,Yonsei University,Asia,South Korea,106,62.3,3621,290,25903,3379
107,"KIT, Karlsruhe Institute of Technology",Europe,Germany,107,61.9,1827,410,26081,4809
108,Sungkyunkwan University (SKKU),Asia,South Korea,108,61.6,3556,324,23921,2818
109,Utrecht University,Europe,Netherlands,109,61.5,3067,653,31754,2771
110,Leiden University,Europe,Netherlands,109,61.5,2324,581,26513,3488
111,The University of Adelaide,Oceania,Australia,109,61.5,1729,633,21240,8114
112,Uppsala University,Europe,Sweden,112,61.4,2567,584,25371,5198
